step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
78,1,,1.0,32.0,32.0,,72.81586600583978,3852.2724609375,0.5306859205776173,0.6702095336384244,0.5084337349397591,0.6754420239191788,-0.0222521856378582
79,2,1.0,0.0,32.0,32.0,0.7166748046875,72.4108190042898,4303.3583984375,,,,,
80,2,2.0,0.0,32.0,32.0,0.66796875,82.85317898844369,4303.3583984375,,,,,
81,2,3.0,0.0,32.0,32.0,0.6956787109375,83.11859000241384,4303.3583984375,,,,,
82,2,4.0,0.0,32.0,32.0,0.69757080078125,82.9152220103424,4303.3583984375,,,,,
83,2,5.0,0.0,32.0,32.0,0.65338134765625,85.45412999228574,4303.3583984375,,,,,
84,2,6.0,0.0,32.0,32.0,0.6539306640625,84.85295801074244,4303.3583984375,,,,,
85,2,7.0,0.0,32.0,32.0,0.66424560546875,84.10724898567423,4303.3583984375,,,,,
86,2,8.0,0.0,32.0,32.0,0.6478271484375,85.45079399482347,4303.3583984375,,,,,
87,2,9.0,0.0,32.0,32.0,0.63836669921875,85.54830000502989,4303.3583984375,,,,,
88,2,10.0,0.0,32.0,32.0,0.6829833984375,86.19018300669268,4303.3583984375,,,,,
89,2,11.0,0.0,32.0,32.0,0.65020751953125,85.13045200379565,4303.3583984375,,,,,
90,2,12.0,0.0,32.0,32.0,0.70806884765625,86.34782099397853,4303.3583984375,,,,,
91,2,13.0,0.0,32.0,32.0,0.66864013671875,84.87027900991961,4303.3583984375,,,,,
92,2,14.0,0.0,32.0,32.0,0.650848388671875,82.43430400034413,4303.3583984375,,,,,
93,2,15.0,0.0,32.0,32.0,0.660308837890625,82.65674998983741,4303.3583984375,,,,,
94,2,16.0,0.0,32.0,32.0,0.676422119140625,84.48752001277171,4303.3583984375,,,,,
95,2,17.0,0.0,32.0,32.0,0.6497802734375,85.67725500324741,4303.3583984375,,,,,
96,2,18.0,0.0,32.0,32.0,0.68701171875,84.23982697422616,4303.3583984375,,,,,
97,2,19.0,0.0,32.0,32.0,0.69354248046875,84.11569200688973,4303.3583984375,,,,,
98,2,20.0,0.0,32.0,32.0,0.645751953125,80.65335900755599,4303.3583984375,,,,,
99,2,21.0,0.0,32.0,32.0,0.647613525390625,85.51506299409084,4303.3583984375,,,,,
100,2,22.0,0.0,32.0,32.0,0.664306640625,84.76119302213192,4303.3583984375,,,,,
101,2,23.0,0.0,32.0,32.0,0.66876220703125,85.04301201901399,4303.3583984375,,,,,
102,2,24.0,0.0,32.0,32.0,0.67919921875,86.47143098642118,4303.3583984375,,,,,
103,2,25.0,0.0,32.0,32.0,0.66888427734375,85.21533399471082,4303.3583984375,,,,,
104,2,26.0,0.0,32.0,32.0,0.66552734375,82.06792201963253,4303.3583984375,,,,,
105,2,27.0,0.0,32.0,32.0,0.6475830078125,83.5126249876339,4303.3583984375,,,,,
106,2,28.0,0.0,32.0,32.0,0.6597900390625,84.84981200308539,4303.3583984375,,,,,
107,2,29.0,0.0,32.0,32.0,0.7362060546875,85.30826601781882,4303.3583984375,,,,,
108,2,30.0,0.0,32.0,32.0,0.681365966796875,83.48100798320957,4303.3583984375,,,,,
109,2,31.0,0.0,32.0,32.0,0.63299560546875,84.97588100726716,4303.3583984375,,,,,
110,2,32.0,0.0,32.0,32.0,0.699371337890625,86.43561499775387,4303.3583984375,,,,,
