step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
26,1,26.0,0.0,32.0,32.0,0.6321543455123901,129.22486598836258,7769.0400390625,,,,,
27,1,27.0,0.0,32.0,32.0,0.761289119720459,173.76232403330505,7463.01904296875,,,,,
28,1,28.0,0.0,32.0,32.0,0.674317479133606,138.58186500146985,7769.0400390625,,,,,
29,1,29.0,0.0,32.0,32.0,0.7637165188789368,143.99625197984278,7769.0400390625,,,,,
30,1,30.0,0.0,32.0,32.0,0.6642882823944092,140.90160297928378,7769.0400390625,,,,,
31,1,31.0,0.0,32.0,32.0,0.6873936653137207,136.86210301239043,7769.0400390625,,,,,
32,1,32.0,0.0,32.0,32.0,0.6995924115180969,130.9478670009412,7769.0400390625,,,,,
33,1,33.0,0.0,32.0,32.0,0.6843987107276917,151.8733330303803,7769.0400390625,,,,,
34,1,34.0,0.0,32.0,32.0,0.6824570894241333,135.34240302396938,7769.0400390625,,,,,
35,1,35.0,0.0,32.0,32.0,0.6553376913070679,136.85540098231286,7769.0400390625,,,,,
36,1,36.0,0.0,32.0,32.0,0.6798268556594849,140.68442396819592,7769.0400390625,,,,,
37,1,37.0,0.0,32.0,32.0,0.6948493719100952,140.7206760486588,7769.0400390625,,,,,
38,1,38.0,0.0,32.0,32.0,0.6773848533630371,137.09392299642786,7769.0400390625,,,,,
39,1,39.0,0.0,32.0,32.0,0.6235200762748718,133.5072490037419,7769.0400390625,,,,,
40,1,40.0,0.0,32.0,32.0,0.6210720539093018,139.86663502873853,7769.0400390625,,,,,
41,1,41.0,0.0,32.0,32.0,0.6616214513778687,138.55914800660685,7769.0400390625,,,,,
42,1,42.0,0.0,32.0,32.0,0.7032783031463623,137.11022399365902,7769.0400390625,,,,,
43,1,43.0,0.0,32.0,32.0,0.6116399765014648,139.98834398807958,7769.0400390625,,,,,
44,1,44.0,0.0,32.0,32.0,0.5661516189575195,140.89487900491804,7769.0400390625,,,,,
45,1,45.0,0.0,32.0,32.0,0.7150543332099915,138.0712289828807,7769.0400390625,,,,,
46,1,46.0,0.0,32.0,32.0,0.6255463361740112,135.36938600009307,7769.0400390625,,,,,
47,1,47.0,0.0,32.0,32.0,0.7131689786911011,142.55054097156972,7769.0400390625,,,,,
48,1,48.0,0.0,32.0,32.0,0.7380759716033936,136.7537170299329,7769.0400390625,,,,,
49,1,49.0,0.0,32.0,32.0,0.6662415266036987,138.62005295231938,7769.0400390625,,,,,
50,1,50.0,0.0,32.0,32.0,0.6065909266471863,142.06188899697736,7769.0400390625,,,,,
51,1,51.0,0.0,32.0,32.0,0.6087102890014648,140.19266096875072,7769.0400390625,,,,,
52,1,52.0,0.0,32.0,32.0,0.7528551816940308,138.3441939833574,7769.0400390625,,,,,
53,1,53.0,0.0,32.0,32.0,0.6159540414810181,133.87659599538893,7650.2841796875,,,,,
54,1,54.0,0.0,32.0,32.0,0.5780354738235474,140.02449001418427,7769.0400390625,,,,,
55,1,55.0,0.0,32.0,32.0,0.5857236385345459,137.76198297273368,7769.0400390625,,,,,
56,1,56.0,0.0,32.0,32.0,0.7169925570487976,138.14802799606696,7769.0400390625,,,,,
57,1,57.0,0.0,32.0,32.0,0.6760836839675903,140.049486013595,7769.0400390625,,,,,
58,1,58.0,0.0,32.0,32.0,0.4985850155353546,139.81998100643978,7769.0400390625,,,,,
59,1,59.0,0.0,32.0,32.0,0.598444938659668,137.74312200257555,7769.0400390625,,,,,
60,1,60.0,0.0,32.0,32.0,0.4880068898200989,136.22472900897264,7769.0400390625,,,,,
61,1,61.0,0.0,32.0,32.0,0.6468245983123779,139.13248799508438,7769.0400390625,,,,,
62,1,62.0,0.0,32.0,32.0,0.5769228935241699,138.273332035169,7769.0400390625,,,,,
